# ----------------------------------------
# CitationFormatChecker
# Events: Event name-Tab 3
# 20251201-20251228
# ----------------------------------------

,,Segment,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Totals,Totals,Totals,Totals
Event name,Landing page,Session source / medium,Event count,Total users,Event count per active user,Total revenue,Event count,Total users,Event count per active user,Total revenue
,,,3530,735,4.802721088435374,0,3530,735,4.802721088435374,0,Grand total
page_view,/cite-britannica-apa,bing / organic,36,13,2.769230769230769,0,36,13,2.769230769230769,0
page_view,/cite-google-scholar-apa,(direct) / (none),22,11,2,0,22,11,2,0
page_view,/cite-arxiv-apa,(direct) / (none),18,9,2,0,18,9,2,0
page_view,/how-to-cite-youtube-apa,(direct) / (none),18,9,2,0,18,9,2,0
page_view,/cite-apa-journal-apa,bing / organic,17,6,2.8333333333333335,0,17,6,2.8333333333333335,0
page_view,/cite-aaai-conference-on-artificial-intelligence-apa,(direct) / (none),16,8,2,0,16,8,2,0
page_view,/cite-google-scholar-apa,bing / organic,16,8,2,0,16,8,2,0
page_view,/cite-pubmed-apa,bing / organic,16,7,2.2857142857142856,0,16,7,2.2857142857142856,0
page_view,/how-to-cite-tv-episode-apa,bing / organic,16,7,2.2857142857142856,0,16,7,2.2857142857142856,0
page_view,/how-to-cite-linkedin-apa,bing / organic,15,3,5,0,15,3,5,0
page_view,/how-to-cite-software-apa,bing / organic,15,11,1.3636363636363635,0,15,11,1.3636363636363635,0
session_start,/cite-britannica-apa,bing / organic,14,13,1.0769230769230769,0,14,13,1.0769230769230769,0
editor_focused,/how-to-cite-conference-paper-apa,chatgpt.com / referral,13,1,13,0,13,1,13,0
first_visit,/cite-britannica-apa,bing / organic,13,13,1,0,13,13,1,0
first_visit,/how-to-cite-working-paper-apa,(direct) / (none),13,13,1,0,13,13,1,0
page_view,/how-to-cite-working-paper-apa,(direct) / (none),13,13,1,0,13,13,1,0
session_start,/how-to-cite-working-paper-apa,(direct) / (none),13,13,1,0,13,13,1,0
first_visit,/how-to-cite-book-chapter-apa,(direct) / (none),12,12,1,0,12,12,1,0
page_view,/cite-arxiv-apa,perplexity.ai / referral,12,2,6,0,12,2,6,0
page_view,/cite-britannica-apa,google / organic,12,6,2,0,12,6,2,0
page_view,/cite-cdc-apa,(direct) / (none),12,6,2,0,12,6,2,0
page_view,/cite-nature-physics-apa,(direct) / (none),12,6,2,0,12,6,2,0
page_view,/how-to-cite-book-chapter-apa,(direct) / (none),12,12,1,0,12,12,1,0
session_start,/how-to-cite-book-chapter-apa,(direct) / (none),12,12,1,0,12,12,1,0
editor_focused,/how-to-cite-book-apa,chatgpt.com / referral,11,1,11,0,11,1,11,0
first_visit,/cite-google-scholar-apa,(direct) / (none),11,11,1,0,11,11,1,0
first_visit,/how-to-cite-software-apa,bing / organic,11,11,1,0,11,11,1,0
page_view,/cite-britannica-apa,chatgpt.com / referral,11,4,2.75,0,11,4,2.75,0
session_start,/cite-google-scholar-apa,(direct) / (none),11,11,1,0,11,11,1,0
session_start,/how-to-cite-software-apa,bing / organic,11,11,1,0,11,11,1,0
user_engagement,/cite-britannica-apa,bing / organic,11,10,1.1,0,11,10,1.1,0
user_engagement,/how-to-cite-software-apa,bing / organic,11,8,1.375,0,11,8,1.375,0
first_visit,/how-to-cite-conference-paper-apa,(direct) / (none),10,10,1,0,10,10,1,0
first_visit,/how-to-cite-working-paper-apa,bing / organic,10,10,1,0,10,10,1,0
page_view,/cite-arxiv-apa,google / organic,10,5,2,0,10,5,2,0
page_view,/cite-cdc-apa,bing / organic,10,4,2.5,0,10,4,2.5,0
page_view,/cite-circulation-apa,(direct) / (none),10,5,2,0,10,5,2,0
page_view,/cite-circulation-apa,bing / organic,10,5,2,0,10,5,2,0
page_view,/cite-epa-apa,bing / organic,10,3,3.3333333333333335,0,10,3,3.3333333333333335,0
page_view,/cite-fda-apa,bing / organic,10,5,2,0,10,5,2,0
page_view,/cite-new-york-times-apa,(direct) / (none),10,5,2,0,10,5,2,0
page_view,/cite-world-development-apa,(direct) / (none),10,5,2,0,10,5,2,0
page_view,/how-to-cite-conference-paper-apa,(direct) / (none),10,10,1,0,10,10,1,0
page_view,/how-to-cite-facebook-apa,chatgpt.com / (not set),10,2,5,0,10,2,5,0
page_view,/how-to-cite-working-paper-apa,bing / organic,10,10,1,0,10,10,1,0
session_start,/how-to-cite-conference-paper-apa,(direct) / (none),10,10,1,0,10,10,1,0
session_start,/how-to-cite-working-paper-apa,bing / organic,10,10,1,0,10,10,1,0
user_engagement,/how-to-cite-linkedin-apa,bing / organic,10,3,3.3333333333333335,0,10,3,3.3333333333333335,0
user_engagement,/how-to-cite-youtube-apa,(direct) / (none),10,3,3.3333333333333335,0,10,3,3.3333333333333335,0
first_visit,/cite-arxiv-apa,(direct) / (none),9,9,1,0,9,9,1,0
first_visit,/how-to-cite-youtube-apa,(direct) / (none),9,9,1,0,9,9,1,0
page_view,/cite-harvard-business-review-apa,google / organic,9,3,3,0,9,3,3,0
page_view,/cite-jstor-apa,bing / organic,9,3,3,0,9,3,3,0
session_start,/cite-arxiv-apa,(direct) / (none),9,9,1,0,9,9,1,0
session_start,/how-to-cite-youtube-apa,(direct) / (none),9,9,1,0,9,9,1,0
first_visit,/cite-aaai-conference-on-artificial-intelligence-apa,(direct) / (none),8,8,1,0,8,8,1,0
first_visit,/cite-google-scholar-apa,bing / organic,8,8,1,0,8,8,1,0
first_visit,/how-to-cite-government-report-apa,(direct) / (none),8,8,1,0,8,8,1,0
