# ----------------------------------------
# CitationFormatChecker
# Landing Page Performance [PSEO]-Free form 1
# 20251029-20251228
# ----------------------------------------

,Segment,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Exclude Israel,Totals,Totals,Totals,Totals,Totals,Totals
Landing page + query string,Session source / medium,Sessions,New users,Total users,User engagement,Average engagement time per session,Engagement rate,Sessions,New users,Total users,User engagement,Average engagement time per session,Engagement rate
,,1128,1106,1105,20129,17.84485815602837,0.6134751773049646,1128,1106,1105,20129,17.84485815602837,0.6134751773049646,Grand total
/cite-britannica-apa/,bing / organic,27,26,26,562,20.814814814814813,1,27,26,26,562,20.814814814814813,1
/how-to-cite-software-apa/,bing / organic,17,17,17,788,46.35294117647059,0.7058823529411765,17,17,17,788,46.35294117647059,0.7058823529411765
/how-to-cite-book-chapter-apa/,(direct) / (none),16,16,16,15,0.9375,0,16,16,16,15,0.9375,0
/how-to-cite-working-paper-apa/,(direct) / (none),15,15,15,16,1.0666666666666667,0,15,15,15,16,1.0666666666666667,0
/guide/apa-vs-mla-vs-chicago/,(direct) / (none),14,15,14,11,0.7857142857142857,0.07142857142857142,14,15,14,11,0.7857142857142857,0.07142857142857142
/how-to-cite-working-paper-apa/,bing / organic,13,13,13,283,21.76923076923077,0.5384615384615384,13,13,13,283,21.76923076923077,0.5384615384615384
/cite-arxiv-apa/,(direct) / (none),12,12,12,8,0.6666666666666666,1,12,12,12,8,0.6666666666666666,1
/cite-google-scholar-apa/,(direct) / (none),12,12,12,12,1,1,12,12,12,12,1,1
/cite-google-scholar-apa/,bing / organic,12,12,12,229,19.083333333333332,1,12,12,12,229,19.083333333333332,1
/guide/apa-in-text-citations/,(direct) / (none),12,12,12,12,1,0.08333333333333333,12,12,12,12,1,0.08333333333333333
/guide/apa-vs-mla-vs-chicago/,bing / organic,12,11,11,816,68,0.8333333333333334,12,11,11,816,68,0.8333333333333334
/how-to-cite-conference-paper-apa/,(direct) / (none),12,12,12,15,1.25,0,12,12,12,15,1.25,0
/how-to-cite-encyclopedia-apa/,(direct) / (none),12,13,12,11,0.9166666666666666,0.08333333333333333,12,13,12,11,0.9166666666666666,0.08333333333333333
/cite-frontiers-in-immunology-apa/,(direct) / (none),11,11,11,0,0,1,11,11,11,0,0,1
/cite-britannica-apa/,(direct) / (none),10,11,10,9,0.9,1,10,11,10,9,0.9,1
/how-to-cite-government-report-apa/,(direct) / (none),10,10,10,41,4.1,0.2,10,10,10,41,4.1,0.2
/how-to-cite-journal-article-apa/,(direct) / (none),10,10,10,31,3.1,0.2,10,10,10,31,3.1,0.2
/how-to-cite-magazine-apa/,(direct) / (none),10,10,10,15,1.5,0,10,10,10,15,1.5,0
/how-to-cite-youtube-apa/,(direct) / (none),10,10,10,92,9.2,0.1,10,10,10,92,9.2,0.1
/how-to-cite-book-apa/,(direct) / (none),9,9,9,1,0.1111111111111111,0,9,9,9,1,0.1111111111111111,0
/how-to-cite-dissertation-apa/,(direct) / (none),9,10,9,10,1.1111111111111112,0.1111111111111111,9,10,9,10,1.1111111111111112,0.1111111111111111
/how-to-cite-twitter-apa/,(direct) / (none),9,9,9,10,1.1111111111111112,0,9,9,9,10,1.1111111111111112,0
/cite-aaai-conference-on-artificial-intelligence-apa/,(direct) / (none),8,8,8,14,1.75,1,8,8,8,14,1.75,1
/cite-cdc-apa/,bing / organic,8,8,8,243,30.375,1,8,8,8,243,30.375,1
/cite-jstor-apa/,chatgpt.com / referral,8,5,5,90,11.25,1,8,5,5,90,11.25,1
/guide/apa-graduate-students/,(direct) / (none),8,8,8,10,1.25,0,8,8,8,10,1.25,0
/how-to-check-volume-issue-apa/,(direct) / (none),8,8,8,17,2.125,0.75,8,8,8,17,2.125,0.75
/how-to-check-volume-issue-apa/,bing / organic,8,8,8,23,2.875,0.625,8,8,8,23,2.875,0.625
/how-to-cite-facebook-apa/,(direct) / (none),8,8,8,9,1.125,0,8,8,8,9,1.125,0
/how-to-cite-instagram-apa/,(direct) / (none),8,8,8,11,1.375,0,8,8,8,11,1.375,0
/cite-arxiv-apa/,google / organic,7,7,7,171,24.428571428571427,1,7,7,7,171,24.428571428571427,1
/cite-britannica-apa/,chatgpt.com / referral,7,7,7,218,31.142857142857142,1,7,7,7,218,31.142857142857142,1
/cite-pubmed-apa/,bing / organic,7,7,7,227,32.42857142857143,1,7,7,7,227,32.42857142857143,1
/how-to-cite-dictionary-apa/,(direct) / (none),7,7,7,11,1.5714285714285714,0,7,7,7,11,1.5714285714285714,0
/how-to-cite-edited-book-apa/,(direct) / (none),7,7,7,13,1.8571428571428572,0,7,7,7,13,1.8571428571428572,0
/how-to-cite-facebook-apa/,bing / organic,7,6,6,102,14.571428571428571,0.42857142857142855,7,6,6,102,14.571428571428571,0.42857142857142855
/how-to-cite-newspaper-apa/,(direct) / (none),7,7,7,12,1.7142857142857142,0,7,7,7,12,1.7142857142857142,0
/how-to-cite-software-apa/,(direct) / (none),7,7,7,2,0.2857142857142857,0,7,7,7,2,0.2857142857142857,0
/how-to-cite-thesis-apa/,(direct) / (none),7,7,7,9,1.2857142857142858,0,7,7,7,9,1.2857142857142858,0
/how-to-cite-tv-episode-apa/,bing / organic,7,7,7,651,93,0.5714285714285714,7,7,7,651,93,0.5714285714285714
/how-to-cite-website-apa/,(direct) / (none),7,7,7,0,0,0,7,7,7,0,0,0
/how-to-cite-white-paper-apa/,(direct) / (none),7,7,7,10,1.4285714285714286,0,7,7,7,10,1.4285714285714286,0
/how-to-cite-white-paper-apa/,bing / organic,7,7,7,211,30.142857142857142,0.42857142857142855,7,7,7,211,30.142857142857142,0.42857142857142855
/cite-apa-journal-apa/,bing / organic,6,6,6,114,19,1,6,6,6,114,19,1
/cite-arxiv-apa/,perplexity.ai / referral,6,6,6,527,87.83333333333333,1,6,6,6,527,87.83333333333333,1
/cite-britannica-apa/,chatgpt.com / (not set),6,6,6,0,0,1,6,6,6,0,0,1
/cite-britannica-apa/,google / organic,6,6,6,133,22.166666666666668,1,6,6,6,133,22.166666666666668,1
/cite-cdc-apa/,(direct) / (none),6,6,6,10,1.6666666666666667,1,6,6,6,10,1.6666666666666667,1
/cite-fda-apa/,bing / organic,6,6,6,402,67,1,6,6,6,402,67,1
/cite-merriam-webster-apa/,(direct) / (none),6,7,6,8,1.3333333333333333,1,6,7,6,8,1.3333333333333333,1
/cite-nature-physics-apa/,(direct) / (none),6,6,6,2,0.3333333333333333,1,6,6,6,2,0.3333333333333333,1
/cite-scientific-reports-apa/,(direct) / (none),6,6,6,1,0.16666666666666666,1,6,6,6,1,0.16666666666666666,1
/cite-world-development-apa/,(direct) / (none),6,6,6,3,0.5,1,6,6,6,3,0.5,1
/guide/apa-graduate-students/,bing / organic,6,5,5,140,23.333333333333332,0.16666666666666666,6,5,5,140,23.333333333333332,0.16666666666666666
/how-to-cite-dataset-apa/,(direct) / (none),6,6,6,2,0.3333333333333333,0,6,6,6,2,0.3333333333333333,0
/cite-associated-press-apa/,bing / organic,5,5,5,700,140,1,5,5,5,700,140,1
/cite-chemical-engineering-journal-apa/,(direct) / (none),5,5,5,3,0.6,1,5,5,5,3,0.6,1
/cite-circulation-apa/,(direct) / (none),5,5,5,8,1.6,1,5,5,5,8,1.6,1
/cite-circulation-apa/,bing / organic,5,5,5,0,0,1,5,5,5,0,0,1
/cite-journal-of-materials-chemistry-a-apa/,(direct) / (none),5,5,5,2,0.4,1,5,5,5,2,0.4,1
/cite-jstor-apa/,bing / organic,5,5,5,237,47.4,1,5,5,5,237,47.4,1
/cite-new-york-times-apa/,(direct) / (none),5,5,5,10,2,1,5,5,5,10,2,1
/cite-npr-apa/,(direct) / (none),5,5,5,10,2,1,5,5,5,10,2,1
/guide/apa-citations-nursing/,(direct) / (none),5,5,5,87,17.4,0.2,5,5,5,87,17.4,0.2
/guide/apa-reference-list/,(direct) / (none),5,5,5,0,0,0,5,5,5,0,0,0
/how-to-check-et-al-apa/,(direct) / (none),5,5,5,0,0,0,5,5,5,0,0,0
/how-to-check-publisher-apa/,(direct) / (none),5,5,5,0,0,0,5,5,5,0,0,0
/how-to-cite-film-apa/,(direct) / (none),5,5,5,0,0,0,5,5,5,0,0,0
/how-to-cite-twitter-apa/,bing / organic,5,5,5,97,19.4,0.2,5,5,5,97,19.4,0.2
/cite-american-economic-review-apa/,(direct) / (none),4,4,4,1,0.25,1,4,4,4,1,0.25,1
